#{"t_start": 1588858822.4834797, "env_id": null}
r,l,t
-3.972222,1,3.036257
-4.027778,1,3.038253
-4.027778,1,3.03925
-4.027778,1,3.044235
-4.027778,1,3.04623
-4.027778,1,3.047229
-3.972222,1,3.049223
-4.027778,1,3.050221
-4.027778,1,3.055207
-4.027778,1,3.056205
-3.972222,1,3.058199
-3.972222,1,3.059206
-3.972222,1,3.061191
-4.027778,1,3.065179
-4.027778,1,3.067183
-3.972222,1,3.068173
-3.972222,1,3.070166
-4.027778,1,3.071164
-3.972222,1,3.076151
-4.027778,1,3.078154
-4.027778,1,3.079143
-3.972222,1,3.081145
-4.027778,1,3.083132
-3.972222,1,3.087123
-3.972222,1,3.089127
-3.972222,1,3.09111
-3.972222,1,3.092108
-4.027778,1,3.095101
-3.972222,1,3.100092
-3.972222,1,3.101084
-3.972222,1,3.10308
-4.027778,1,3.104077
-3.972222,1,3.10607
-3.972222,1,3.110059
-3.972222,1,3.112055
-4.027778,1,3.11306
-3.972222,1,3.115058
-3.972222,1,3.116044
-3.972222,1,3.121031
-3.972222,1,3.123024
-4.027778,1,3.124023
-3.972222,1,3.126018
-4.027778,1,3.127016
-4.027778,1,3.132001
-4.027778,1,3.133005
-3.972222,1,3.134995
-4.027778,1,3.135991
-4.027778,1,3.137989
-4.027778,1,3.142973
-4.027778,1,3.143969
-3.972222,1,3.145965
-4.027778,1,3.146962
-4.027778,1,3.148965
-3.972222,1,3.153942
-4.027778,1,3.155938
-4.027778,1,3.156934
-4.027778,1,3.157932
-4.027778,1,3.159928
-4.027778,1,3.164914
-4.027778,1,3.165911
-3.972222,1,3.167905
-3.972222,1,3.168902
-3.972222,1,3.170897
-3.972222,1,3.175894
-4.027778,1,3.177878
-4.027778,1,3.178876
-4.027778,1,3.179874
-4.027778,1,3.181868
-3.972222,1,3.186856
-3.972222,1,3.187853
-3.972222,1,3.189846
-3.972222,1,3.190845
-3.972222,1,3.192841
-3.972222,1,3.196827
-3.972222,1,3.198824
-3.972222,1,3.19982
-3.972222,1,3.201816
-3.972222,1,3.202813
-3.972222,1,3.2078
-4.027778,1,3.209793
-3.972222,1,3.2108
-3.972222,1,3.212786
-4.027778,1,3.213783
-4.027778,1,3.218769
-3.972222,1,3.220765
-3.972222,1,3.221762
-3.972222,1,3.223759
-3.972222,1,3.224753
-3.972222,1,3.230738
-4.027778,1,3.23373
-3.972222,1,3.23574
